CPUs,Time,Requests/s
11,11.85535158,414.6650536
22,5.967197458,823.8373264
33,4.071922625,1207.292096
44,3.300314667,1489.554935
55,4.763356,1032.045474
66,2.43673,2017.457823
77,2.292265125,2144.603583
88,2.353821875,2088.518274
99,2.383649459,2062.383788
110,2.317127292,2121.59255
121,2.390902708,2056.127162
132,2.720550333,1806.987336
143,2.408951916,2040.721514
154,2.41418175,2036.300705
165,2.544209375,1932.230912
176,2.605437,1886.823592
187,2.70653525,1816.344347
198,2.5700245,1912.822232
209,2.564336,1917.06547
220,2.62935925,1869.657028
